"number","title","pageid","namespace","length","touched"
"357","Registration,_Evaluation,_Authorisation_and_Restriction_of_Chemicals","1301665","","24920","20160606003310"
"358","Autism_rights_movement","1305330","","55212","20160618132450"
"359","Diseases_of_affluence","1342299","","11487","20160617165542"
"360","Environmental_factor","1342819","","4514","20160612140740"
"361","Health_risks_from_dead_bodies","1346128","","8711","20160606003310"
"362","Confined_space","1364297","","11316","20160606003310"
"363","Epizootiology","1370289","","337","20160612140740"
"364","Lochia","1377246","","4449","20160612134414"
"365","Cost–utility_analysis","1393154","","8672","20160606003310"
"366","Quality-adjusted_life_year","1393169","","14746","20160618144729"
"367","Dhat_syndrome","1404586","","7070","20160616003757"
"368","Conservation_medicine","1453457","","7427","20160526073259"
"369","Emergency_management","1455589","","90258","20160617165542"
"370","Health_psychology","1465997","","37842","20160617165542"
"371","Gestational_age","1467374","","14704","20160606003310"
"372","Framingham_Heart_Study","1471689","","20220","20160606003310"
"373","Medical_practice_management_software","1473823","","8447","20160429225901"
"374","Phytic_acid","1479978","","19593","20160617165542"
"375","Bishop_score","1510082","","6370","20160606003310"
"376","Swine_influenza","1516915","","70863","20160619184947"
"377","Alice_Hamilton","1532239","","20400","20160617235907"
"378","Barefoot_doctor","1543389","","11622","20160619162006"
"379","EHealth","1547057","","30460","20160616112628"
"380","Physician–patient_privilege","1549377","","5834","20160612140740"
"381","Texas_Medication_Algorithm_Project","1551797","","8594","20160109233932"
"382","Medical_algorithm","1551981","","5797","20160614071819"
"383","Nasal_irrigation","1554081","","20279","20160614183909"
"384","Wellness_(alternative_medicine)","1554120","","7196","20160617165542"
"385","Sensory_garden","1566626","","1719","20160526130603"
"386","Social_support","1571927","","68271","20160619170727"
"387","Behavior_change_(public_health)","1573182","","7421","20160618053408"
"388","Elderly_care","1581682","","33034","20160618184301"
"389","Cervical_dilation","1591856","","7744","20160607140613"
"390","Lauric_acid","1598497","","13922","20160617165542"
"391","Risk_and_Safety_Statements","1605859","","2888","20160429001839"
"392","Polyunsaturated_fat","1610513","","18838","20160606003310"
"393","High-altitude_pulmonary_edema","1612590","","9237","20160609065719"
"394","Thermogenics","1620415","","1346","20160618073736"
"395","Circumcision_and_HIV","1637983","","32857","20160606003310"
"396","Global_Infectious_Disease_Epidemiology_Network","1648607","","3530","20151207131417"
"397","Group_purchasing_organization","1660162","","10938","20160612140740"
"398","World's_most_liveable_cities","1664254","","5239","20160606003310"
"399","Terri_Schiavo_timeline","1689365","","17660","20160606003310"
"400","Sudi_Devanesen","1697853","","3936","20160606003310"
"401","Straight_razor","1703365","","42663","20160617165542"
"402","Malinas_score","1704544","","2618","20151213064828"
"403","Charles_Darwin's_health","1705387","","53697","20160614071819"
"404","Diverticular_disease","1709344","","551","20160615115029"
"405","Bloody_show","1709515","","1573","20160528190654"
"406","Disease_management_(health)","1716947","","40838","20160606003310"
"407","Nursing_research","1726106","","3169","20160618134414"
"408","Personal,_Social_and_Health_Education","1732503","","6443","20160617165542"
"409","Athletic_training","1742971","","23259","20160606003310"
"410","Stress_hyperglycemia","1764060","","7406","20160616050707"
"411","Nutrition_physiology","1764576","","489","20160612140740"
"412","Pregnancy","1771587","","99079","20160617165542"
"413","Sexual_addiction","1797004","","48008","20160616221101"
"414","Health_equity","1810614","","72958","20160617094844"
"415","Telecare","1814446","","7269","20160619162006"
"416","Lipedema","1817722","","18536","20160617165542"
"417","HIV/AIDS_in_Latin_America","1831787","","1496","20160526130603"
"418","Social_grooming","1840387","","15500","20160614071941"
"419","10/90_gap","1841309","","8974","20160606003310"
"420","Nutritional_genomics","1843196","","14233","20160606003310"
"421","GNC_(store)","1843625","","9331","20160617165542"
"422","Condom_fatigue","1864519","","2577","20160606003310"
"423","List_of_R-phrases","1885045","","12917","20160606003310"
"424","List_of_S-phrases","1885056","","7512","20160304115339"
"425","Gestation_period","1888454","","8597","20160614064110"
"426","Dry_sex","1895422","","5059","20160619162006"
"427","Pope_John_Paul_II's_health","1897067","","7137","20160618045425"
"428","Transtheoretical_model","1906107","","42836","20160615110702"
"429","Chemical_accident","1916689","","4949","20160522070544"
"430","Gas_leak","1919614","","12887","20160606003310"
"431","Healing_environments","1935636","","10551","20160614071941"
"432","Evidence-based_design","1935842","","18989","20160612192119"
"433","Protein_Digestibility_Corrected_Amino_Acid_Score","1940039","","10317","20160613155442"
"434","Obstructed_labour","1965360","","7744","20160610075435"
"435","Health_effect","1976739","","1764","20160612140740"
"436","Female_sexual_arousal_disorder","1988622","","21700","20160614071941"
"437","Birth_weight","1995486","","11930","20160606003310"
"438","Environmental_hazard","1998027","","4192","20160616221101"
"439","Telethon_Kids_Institute","2000207","","6864","20160617165542"
"440","Retail_therapy","2011912","","3278","20150720180311"
"441","Health_and_Social_Care_Information_Centre","2019238","","10099","20160606003310"
"442","Computerized_physician_order_entry","2021968","","19286","20160606003310"
"443","Health_food","2053494","","5254","20160617104912"
"444","Clinical_audit","2061705","","22163","20160617165542"
"445","Leukorrhea","2076669","","5964","20160606003310"
"446","History_of_psychiatry","2114027","","37661","20160619162006"
"447","Global_health","2118246","","36149","20160619162006"
"448","Barbara_Vernon","2159617","","2307","20160526130603"
"449","Reproductive_health","2159778","","28548","20160618105152"
"450","Healthcare_Effectiveness_Data_and_Information_Set","2176031","","19875","20160606003310"
"451","Prenatal_development","2190913","","40507","20160616221101"
"452","List_of_disability-related_terms_with_negative_connotations","2220194","","13891","20160608190005"
"453","Developmental_disability","2225882","","38580","20160619162006"
"454","Empty_calorie","2230412","","6256","20160607184906"
"455","OpenEHR","2241254","","15737","20160606003310"
"456","Medical_research","2245783","","37770","20160616222956"
"457","Employee_assistance_program","2267876","","16620","20160617165542"
"458","Testamentary_capacity","2279900","","15165","20160614064110"
"459","Videotelephony","2304367","","31792","20160616221101"
"460","Health_human_resources","2306731","","12120","20151212163453"
"461","Psychiatric_and_mental_health_nursing","2312819","","40172","20160616221101"
"462","Cathole","2324181","","2008","20160613174116"
"463","Information_Services_Division","2343174","","3607","20160606003310"
"464","Clinical_terminology_server","2346811","","1262","20150720180311"
"465","Gin_Craze","2348482","","8275","20160606003310"
"466","Lift_chair","2363918","","1979","20160606003310"
"467","Clinical_decision_support_system","2368154","","32107","20160606003310"
"468","Isotel","2369896","","419","20160617165542"
"469","Euthenics","2370329","","30832","20160613065156"
"470","Population_health","2379996","","22124","20160617071641"
"471","Personal_health_record","2385442","","54448","20160620011124"
"472","Coriaria_thymifolia","2393025","","1020","20160617165542"
"473","Maquila_Decree","2402287","","1449","20160612140740"
"474","Sexual_headache","2425344","","7738","20160616003757"
"475","Fluid_balance","2429234","","14048","20160616221101"
"476","Nutrient_systems","2437454","","1609","20160612140740"
"477","Medical_geology","2440784","","11994","20160606003310"
"478","Subhash_Salunkhe","2440842","","1042","20160606003310"
"479","Jengu","2442097","","9360","20160619162006"
"480","Mami_Wata","2458523","","25029","20160617165542"
"481","Health_education","2459566","","67270","20160617165542"
"482","Hexavalent_chromium","2468967","","32833","20160617165542"
"483","DAISY_Digital_Talking_Book","2472625","","20665","20160606003310"
"484","Hair_care","2494084","","21661","20160614064110"
"485","Public_health_surveillance","2497276","","14917","20160616221101"
"486","Teledentistry","2498975","","1358","20160606003310"
"487","Environmental_medicine","2521593","","5157","20160606003310"
"488","Macroorchidism","2522519","","1946","20160614071941"
"489","List_of_countries_by_infant_mortality_rate","2525954","","188310","20160618173424"
"490","Biomedical_technology","2526456","","957","20160611111822"
"491","Invisible_disability","2533526","","14269","20160606003310"
"492","John_Froines","2589282","","4479","20160606003310"
"493","Diamond_plate","2596487","","3141","20160612140740"
"494","Health_geography","2596739","","7069","20160617165542"
"495","Echogenic_intracardiac_focus","2601147","","3364","20160612140740"
"496","Wireless_electronic_devices_and_health","2605490","","12448","20160606003310"
"497","Glucosinolate","2607178","","13368","20160617165542"
"498","Overnutrition","2613847","","1225","20160614184143"
"499","Robot-assisted_surgery","2629669","","46030","20160617031658"
"500","Online_counseling","2632136","","12433","20160607140613"
"501","Lockout-tagout","2684302","","14043","20160606003310"
"502","Efua_Dorkenoo","2687794","","7622","20160617165542"
"503","Cervical_effacement","2689895","","1427","20160606003310"
"504","Sanitation_Standard_Operating_Procedures","2698420","","2816","20160117205143"
"505","Seattle_500_Study","2778149","","655","20160612140740"
"506","Alcohol_and_weight","2785602","","7853","20160610200612"
"507","TeenScreen","2795512","","19217","20160617165542"
"508","Guideline_execution_engine","2804505","","3907","20160606003310"
"509","Sexual_health_clinic","2815180","","13289","20160616221101"
"510","Hegar's_sign","2820462","","2007","20160606003310"
"511","Hair_washing","2831247","","2257","20160612140740"
"512","Oxygen_radical_absorbance_capacity","2832162","","15969","20160606003310"
"513","Insilicos","2835282","","2884","20160617165542"
"514","Medication_Administration_Record","2843232","","2021","20160612140740"
"515","Pain_disorder","2872544","","10126","20160617165542"
"516","World_Mental_Health_Day","2878302","","2535","20160606003310"
"517","Sinigrin","2892792","","2561","20160611110630"
"518","Medical_debt","2947963","","6885","20160607054204"
"519","Food_group","2953473","","7187","20160606003310"
"520","David_Vernon_(writer)","2961798","","8985","20160617165542"
"521","List_of_medical_organisations","2965208","","4802","20160212015030"
"522","Chadwick's_sign","2976517","","1709","20160606003310"
"523","Alcohol_tolerance","2990841","","12446","20160616221101"
"524","Disease_mongering","2998435","","9702","20160606003310"
"525","Goodell's_sign","3014519","","847","20160526130603"
